method,dataset,scene,traj,variant,n_frames,eff_fps,latency_end_to_end_s,latency_source,per_window_latency_med_s,per_window_source,vram_avg_gb,vram_peak_gb,gpu_util_avg_pct,gpu_power_avg_w,cpu_ram_peak_gb,ckpt_size_mb,gpu_name,hw_id,ate_rmse_m,rpe_per_m,metric_capable,scale_estimate,metric_scale_error_pct,extent_error_pct,masked_accuracy_m,masked_completeness_m,masked_chamfer_m,masked_fscore,full360_accuracy_m,full360_completeness_m,full360_chamfer_m,full360_fscore,point_count,map_size_mb,sor_outlier_pct,acc_p95_m,noise_frac,precision_tight,source
laser,replica,apartment_1,loop_2.0hz_s0,synthetic_fov,84.0,5.799,5.471,archive_unspecified,,unavailable,4.115,8.489,14.3,146.1,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,2.245,1.2109999999999999,False,,,,0.36,1.39,1.75,0.109,0.335,2.37,2.705,0.076,382857.0,5.7,0.037000000000000005,0.8,0.802,0.035,archive:bigrun_2026-07
laser,replica,apartment_1,stopgo_2.0hz_s1,synthetic_fov,90.0,5.704,6.172,archive_unspecified,,unavailable,4.185,8.485,10.1,145.7,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,2.379,1.0190000000000001,False,,,,0.40399999999999997,1.867,2.271,0.049,0.401,2.365,2.765,0.027,480298.0,7.2,0.032,0.857,0.846,0.027999999999999997,archive:bigrun_2026-07
laser,replica,apartment_1,synthetic_2.0hz_s1,synthetic_fov,70.0,5.137,4.84,archive_unspecified,,unavailable,3.9,8.485,12.6,138.4,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,2.166,0.973,False,,,,0.331,0.7290000000000001,1.061,0.199,0.358,0.8640000000000001,1.222,0.146,554361.0,8.3,0.033,0.795,0.7240000000000001,0.055,archive:bigrun_2026-07
laser,replica,apartment_1,stopgo_2.0hz_s0,synthetic_fov,67.0,4.915,4.803,archive_unspecified,,unavailable,3.834,8.422,12.2,134.1,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,2.1319999999999997,0.987,False,,,,0.413,1.921,2.335,0.027,0.363,2.622,2.984,0.031,185163.0,2.8,0.034,0.8290000000000001,0.871,0.019,archive:bigrun_2026-07
laser,replica,apartment_1,synthetic_0.5hz_s0,synthetic_fov,12.0,1.474,1.35,archive_unspecified,,unavailable,2.195,8.122,5.9,85.1,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,1.615,1.203,False,,,,0.325,1.025,1.349,0.151,0.385,1.48,1.865,0.11,79113.0,1.2,0.035,0.888,0.703,0.067,archive:bigrun_2026-07
laser,replica,apartment_1,synthetic_0.5hz_s1,synthetic_fov,18.0,1.96,2.073,archive_unspecified,,unavailable,2.647,8.363,6.2,92.5,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,2.427,0.955,False,,,,0.311,1.2109999999999999,1.5219999999999998,0.173,0.27399999999999997,1.6019999999999999,1.875,0.13,121682.0,1.8,0.027999999999999997,0.8029999999999999,0.682,0.08,archive:bigrun_2026-07
laser,replica,apartment_1,synthetic_5.0hz_s1,synthetic_fov,175.0,7.695,10.781,archive_unspecified,,unavailable,4.983,8.692,15.8,175.2,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,1.6059999999999999,1.207,False,,,,0.307,0.517,0.8240000000000001,0.212,0.53,0.563,1.093,0.116,660616.0,9.9,0.03,0.777,0.688,0.055,archive:bigrun_2026-07
laser,replica,apartment_1,synthetic_2.0hz_s0,synthetic_fov,47.0,4.051,3.586,archive_unspecified,,unavailable,3.475,8.418,14.3,120.7,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,2.19,1.555,False,,,,0.396,1.5630000000000002,1.96,0.056,0.364,2.184,2.5469999999999997,0.037,182768.0,2.7,0.035,0.772,0.883,0.027000000000000003,archive:bigrun_2026-07
laser,replica,apartment_1,synthetic_5.0hz_s0,synthetic_fov,116.0,6.486,7.663,archive_unspecified,,unavailable,4.574,8.485,15.7,157.1,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.946,1.167,False,,,,0.267,0.247,0.514,0.278,0.36,0.621,0.981,0.181,441437.0,6.6,0.038,0.7,0.6459999999999999,0.087,archive:bigrun_2026-07
laser,replica,apartment_1,loop_2.0hz_s1,synthetic_fov,96.0,6.07,6.296,archive_unspecified,,unavailable,4.322,8.449,10.7,148.1,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,2.267,0.927,False,,,,0.312,0.591,0.903,0.215,0.32,0.985,1.305,0.185,812425.0,12.2,0.035,0.799,0.716,0.055,archive:bigrun_2026-07
